# Data version: Dec-2023
# DGIdb version: v.5.0.11
drug_claim_name	nomenclature	concept_id	drug_name	approved	immunotherapy	anti_neoplastic	source_db_name	source_db_version
IUPHAR.LIGAND:13168	GuideToPharmacology Ligand ID	iuphar.ligand:13168	BAY-9835	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:10216	GuideToPharmacology Ligand ID	iuphar.ligand:10216	KH7	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:3638	GuideToPharmacology Ligand ID	rxcui:8214	LECITHIN	true	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:8769	GuideToPharmacology Ligand ID	rxcui:38377	TOLFENAMIC ACID	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:12722	GuideToPharmacology Ligand ID	iuphar.ligand:12722	HU7691	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:8204	GuideToPharmacology Ligand ID	drugbank:DB08073	(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE	false	false	true	GuideToPharmacology	2026.2
IUPHAR.LIGAND:13843	GuideToPharmacology Ligand ID	iuphar.ligand:13843	MANGIFERIN	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:14204	GuideToPharmacology Ligand ID	iuphar.ligand:14204	FAM150B	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:13811	GuideToPharmacology Ligand ID	iuphar.ligand:13811	DIROZALKIB	false	false	false	GuideToPharmacology	2026.2
Iruplinalkib	Primary Drug Name	ncit:C154279	IRUPLINALKIB	false	false	true	NCIt	26.05d
Iruplinalkib	Primary Drug Name	ncit:C154279	IRUPLINALKIB	false	false	true	ChemIDplus	20230222
IUPHAR.LIGAND:11877	GuideToPharmacology Ligand ID	ncit:C154279	IRUPLINALKIB	false	false	true	GuideToPharmacology	2026.2
IUPHAR.LIGAND:10250	GuideToPharmacology Ligand ID	iuphar.ligand:10250	DO264	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:4842	GuideToPharmacology Ligand ID	rxcui:30009	MIGLITOL	true	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:7109	GuideToPharmacology Ligand ID	rxcui:17300	ALFUZOSIN	true	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:502	GuideToPharmacology Ligand ID	rxcui:8153	PHENTOLAMINE	true	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:488	GuideToPharmacology Ligand ID	rxcui:236495	TAMSULOSIN HYDROCHLORIDE	true	false	true	GuideToPharmacology	2026.2
Upidosin	Primary Drug Name	ncit:C75061	UPIDOSIN	false	false	false	NCIt	26.05d
Upidosin	Primary Drug Name	ncit:C75061	UPIDOSIN	false	false	false	ChemIDplus	20230222
IUPHAR.LIGAND:503	GuideToPharmacology Ligand ID	rxcui:8629	PRAZOSIN	true	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:521	GuideToPharmacology Ligand ID	rxcui:228054	DEXMEDETOMIDINE HYDROCHLORIDE	true	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:4186	GuideToPharmacology Ligand ID	iuphar.ligand:4186	ETHYLISOPROPYLAMILORIDE	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:7907	GuideToPharmacology Ligand ID	iuphar.ligand:7907	7-HYDROXYSTAUROSPORINE	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:8006	GuideToPharmacology Ligand ID	iuphar.ligand:8006	BX-795	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:8007	GuideToPharmacology Ligand ID	iuphar.ligand:8007	BX-912	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:8005	GuideToPharmacology Ligand ID	iuphar.ligand:8005	OSU-03012	false	false	false	GuideToPharmacology	2026.2
IUPHAR.LIGAND:8009	GuideToPharmacology Ligand ID	iuphar.ligand:8009	PHT-427	false	false	false	GuideToPharmacology	2026.2
