# Data version: Dec-2023
# DGIdb version: v.5.0.11
gene_claim_name	gene_concept_id	gene_name	drug_claim_name	drug_concept_id	drug_name	drug_is_approved	drug_is_immunotherapy	drug_is_antineoplastic	interaction_source_db_name	interaction_source_db_version	interaction_types	interaction_score	drug_specificity_score	gene_specificity_score	evidence_score
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:8115	iuphar.ligand:8115	COMPOUND 2 [PMID: 22560567]	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.2496791957230317	0.8434374850471315	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:8784	iuphar.ligand:8784	SGI-1776	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.3329055942973757	0.5622916566980877	0.29602572822463497	2
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:10195	iuphar.ligand:10195	COMPOUND 28 [PMID: 30624936]	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.4993583914460635	1.686874970094263	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:8214	iuphar.ligand:8214	COMPOUND 14K [PMID: 21982499]	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.1997433565784254	0.6747499880377051	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:5263	ncit:C66524	RUBOXISTAURIN	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.1426738261274467	0.4819642771697894	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:9923	ncit:C141430	VORUCICLIB	false	false	true	GuideToPharmacology	2026.2	inhibitor	0.06658111885947514	0.22491666267923505	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:13204	iuphar.ligand:13204	DAPOLSERTIB	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.3329055942973757	1.1245833133961753	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:10626	ncit:C124226	UZANSERTIB	false	false	true	GuideToPharmacology	2026.2	inhibitor	0.4993583914460635	0.8434374850471315	0.29602572822463497	2
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:9374	iuphar.ligand:9374	CX-5279	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.9987167828921271	3.373749940188526	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:5922	iuphar.ligand:5922	AKT INHIBITOR X	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.9987167828921271	3.373749940188526	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:8167	iuphar.ligand:8167	LEUCETTINE L41	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.3329055942973757	1.1245833133961753	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:9367	iuphar.ligand:9367	LGB321	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.3329055942973757	1.1245833133961753	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:9368	iuphar.ligand:9368	CX-6258	false	false	true	GuideToPharmacology	2026.2	inhibitor	0.2496791957230317	0.8434374850471315	0.29602572822463497	1
IUPHAR.RECEPTOR:2158	hgnc:8986	PIM1	IUPHAR.LIGAND:8126	ncit:C98054	SILMITASERTIB	false	false	false	GuideToPharmacology	2026.2	inhibitor	0.1664527971486878	0.5622916566980877	0.29602572822463497	1
